name_1,name_2,name_3,degree_1,degree_2,degree_3,error
circumradius,inradius,semiperimeter,1,1,1,0.00038432120345532894
dist_centroid__incenter,dist_centroid__steiner_focus_1,dist_incenter__steiner_focus_2,1,1,1,0.0003846063045784831
area,dist_incenter__orthocenter,perimeter,2,1,1,0.00038728222716599703
dist_circumcenter__incenter,dist_circumcenter__orthocenter,perimeter,1,1,1,0.0003912628162652254
dist_centroid__circumcenter,dist_orthocenter__steiner_focus_2,perimeter,1,1,1,0.00039208345697261393
dist_centroid__circumcenter,dist_orthocenter__steiner_focus_1,perimeter,1,1,1,0.00039642679621465504
dist_centroid__orthocenter,dist_incenter__orthocenter,semiperimeter,1,1,1,0.00041140359826385975
dist_centroid__steiner_focus_1,dist_incenter__steiner_focus_1,perimeter,1,1,1,0.00041257127304561436
dist_centroid__circumcenter,inradius,semiperimeter,1,1,1,0.00041376161971129477
dist_centroid__steiner_focus_1,dist_circumcenter__orthocenter,semiperimeter,1,1,1,0.00041694132960401475
circumradius,dist_centroid__steiner_focus_2,dist_circumcenter__orthocenter,1,1,1,0.0004187895974610001
dist_centroid__incenter,dist_circumcenter__orthocenter,dist_incenter__orthocenter,1,1,1,0.00042037724051624537
dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_1,dist_incenter__steiner_focus_2,1,1,1,0.0004215826338622719
dist_centroid__orthocenter,inradius,semiperimeter,1,1,1,0.000425544916652143
dist_centroid__orthocenter,dist_circumcenter__incenter,perimeter,1,1,1,0.0004272983060218394
dist_centroid__circumcenter,dist_centroid__incenter,dist_circumcenter__incenter,1,1,1,0.0004283265443518758
circumradius,dist_centroid__steiner_focus_1,dist_circumcenter__orthocenter,1,1,1,0.0004296194529160857
dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_2,dist_incenter__steiner_focus_1,1,1,1,0.0004341657040640712
dist_orthocenter__steiner_focus_1,inradius,semiperimeter,1,1,1,0.00043592811562120914
area,dist_centroid__steiner_focus_1,semiperimeter,2,1,1,0.0004384575877338648
area,dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,2,1,1,0.00043965503573417664
dist_circumcenter__steiner_focus_2,dist_orthocenter__steiner_focus_1,semiperimeter,1,1,1,0.0004414459108375013
area,dist_circumcenter__steiner_focus_1,inradius,2,1,1,0.00044313736725598574
dist_centroid__steiner_focus_2,dist_circumcenter__orthocenter,semiperimeter,1,1,1,0.0004480697098188102
dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_1,perimeter,1,1,1,0.00044992516632191837
dist_centroid__incenter,inradius,perimeter,1,1,1,0.00045285047963261604
area,dist_orthocenter__steiner_focus_1,inradius,2,1,1,0.00045396617497317493
dist_centroid__steiner_focus_2,dist_circumcenter__incenter,semiperimeter,1,1,1,0.0004620138497557491
area,dist_circumcenter__incenter,semiperimeter,2,1,1,0.00046564824879169464
dist_circumcenter__steiner_focus_2,inradius,perimeter,1,1,1,0.00047473516315221786
dist_centroid__incenter,dist_centroid__steiner_focus_1,semiperimeter,1,1,1,0.00047484395327046514
dist_circumcenter__incenter,dist_circumcenter__steiner_focus_2,perimeter,1,1,1,0.0004770758096128702
circumradius,dist_incenter__orthocenter,perimeter,1,1,1,0.00047775235725566745
dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_2,perimeter,1,1,1,0.0004919401253573596
dist_centroid__incenter,dist_steiner_focus_1__steiner_focus_2,perimeter,1,1,1,0.0004982163663953543
dist_centroid__circumcenter,dist_circumcenter__steiner_focus_1,perimeter,1,1,1,0.0005024976562708616
dist_circumcenter__steiner_focus_2,inradius,semiperimeter,1,1,1,0.000519478227943182
dist_centroid__orthocenter,dist_centroid__steiner_focus_1,semiperimeter,1,1,1,0.0005209933151490986
dist_centroid__circumcenter,dist_centroid__incenter,dist_incenter__orthocenter,1,1,1,0.000533643236849457
dist_centroid__orthocenter,dist_circumcenter__steiner_focus_1,dist_incenter__steiner_focus_2,1,1,1,0.0005445368587970734
dist_centroid__circumcenter,dist_circumcenter__steiner_focus_2,perimeter,1,1,1,0.000545948394574225
