name_1,name_2,name_3,real_error,null_mean,null_std,z_score,ratio
dist_centroid__orthocenter,dist_centroid__steiner_focus_1,dist_circumcenter__steiner_focus_1,0.005672988933681473,0.25823714636695044,0.26356959076123637,0.9582446772551351,0.021968136704934988
circumradius,dist_centroid__orthocenter,dist_incenter__steiner_focus_1,0.006221295117270502,0.2730282820129469,0.14422835920297583,1.849892686640031,0.022786266211701437
dist_centroid__circumcenter,dist_centroid__incenter,dist_orthocenter__steiner_focus_2,0.0039847093992152645,0.17385493652774542,0.05400475890275462,3.1454677435818637,0.022919736872581392
dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,0.005393174709375213,0.23355054100751851,0.14765989547520667,1.5451545970818652,0.02309210968259583
dist_centroid__steiner_focus_2,dist_circumcenter__incenter,dist_circumcenter__steiner_focus_2,0.0028893686312922986,0.12475642539807053,0.05939704357354472,2.0517360702622156,0.023160078705950046
dist_centroid__orthocenter,dist_circumcenter__incenter,dist_orthocenter__steiner_focus_2,0.0027010113057338255,0.1162842664101734,0.050863285370600586,2.2331088972497177,0.0232276591590341
dist_centroid__steiner_focus_1,dist_circumcenter__incenter,dist_circumcenter__steiner_focus_1,0.00368018935633858,0.15729142606610627,0.025465170984438106,6.0322091221629845,0.02339726613446733
dist_centroid__orthocenter,dist_incenter__orthocenter,dist_incenter__steiner_focus_1,0.006070959651514639,0.25607340725860267,0.13948241710157236,1.7923581538240334,0.023707887970513535
dist_centroid__circumcenter,dist_circumcenter__orthocenter,perimeter,0.004646392448715246,0.19131768607416014,0.11685553975389569,1.5974535226877997,0.024286267224213513
circumradius,dist_circumcenter__steiner_focus_1,dist_orthocenter__steiner_focus_2,0.003249540456551227,0.13364920310062642,0.03405605510032976,3.82897144898067,0.024313953103817617
circumradius,dist_centroid__orthocenter,dist_circumcenter__incenter,0.002621194740432918,0.10548184011199302,0.05304764489899228,1.9390237882834662,0.024849725200564592
dist_orthocenter__steiner_focus_1,dist_orthocenter__steiner_focus_2,perimeter,0.002837122372264824,0.11306820757325209,0.007130415636224792,15.459279069368424,0.02509213184817468
circumradius,dist_orthocenter__steiner_focus_2,perimeter,0.0055329747051457686,0.21915628707372847,0.1583008534623303,1.349476693879083,0.02524670763054298
area,dist_centroid__circumcenter,dist_orthocenter__steiner_focus_1,0.006244345628514762,0.2438101169078263,0.08713214816864438,2.7264996476329575,0.025611511563629945
dist_circumcenter__steiner_focus_2,dist_orthocenter__steiner_focus_1,inradius,0.0043620114647545585,0.1671996879525103,0.04288487374283175,3.7970888631792747,0.02608863400506764
area,circumradius,dist_incenter__orthocenter,0.005379903145096233,0.20481569724090365,0.15123779035585752,1.318690213778855,0.026267045043761494
circumradius,dist_centroid__orthocenter,dist_circumcenter__steiner_focus_1,0.0031549247782856984,0.11920286233387833,0.019129610543264317,6.066403562850055,0.026466854205639705
area,dist_orthocenter__steiner_focus_1,dist_orthocenter__steiner_focus_2,0.0042199768422121415,0.15888345220938296,0.0646566074402127,2.3920753267202666,0.026560203618000995
circumradius,dist_centroid__orthocenter,dist_orthocenter__steiner_focus_2,0.0023842007026636442,0.08966979625996725,0.015792791128423998,5.526926484844485,0.026588670902646647
area,circumradius,dist_circumcenter__incenter,0.007870970515183205,0.2955814117888127,0.13389620228926735,2.148757293743583,0.0266287736686462
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_steiner_focus_1__steiner_focus_2,0.0056398994730123015,0.21077620107834494,0.12585812153646095,1.6299011863601103,0.026757762233867978
dist_centroid__circumcenter,dist_circumcenter__incenter,dist_circumcenter__steiner_focus_1,0.0026385105026354902,0.09723044697636364,0.01959684487259848,4.826896221748045,0.027136669476351398
dist_circumcenter__orthocenter,dist_incenter__steiner_focus_2,dist_orthocenter__steiner_focus_1,0.004727677530504672,0.17051648584441717,0.040021078011260834,4.14253729665313,0.02772563313800816
